temperature,humidity,winp,weather,shebei2_huilu1,shebei3_huilu1,shebei4_huilu1,shebei1_huilu2,shebei3_huilu1,shebei4_huilu1,shebei5_huilu1,shebei5_huilu2
15℃,100%,2级,雨,28,41,24,43,41,24,378,362
15℃,100%,3级,雨,28,41,24,43,41,24,378,362
15℃,100%,3级,雨,29,42,24,44,42,24,384,358
15℃,100%,4级,雨,29,43,24,47,43,24,230,403
15℃,100%,2级,雨,32,43,24,47,43,24,230,403
15℃,100%,3级,阴,40,50,25,116,50,25,257,390
15℃,100%,3级,雨,40,50,25,116,50,25,257,390
14℃,100%,2级,雨,12,50,25,138,50,25,276,352
15℃,100%,2级,雨,12,50,26,177,50,26,501,1645
14℃,100%,2级,雨,11,53,25,73,53,25,448,1311
14℃,100%,2级,雨,11,53,25,73,53,25,448,1311
14℃,100%,2级,雨,11,52,25,58,52,25,225,832
14℃,100%,1级,雨,11,52,25,58,52,25,225,832
14℃,100%,0级,阴,11,0,25,64,0,25,215,757
14℃,100%,2级,阴,0,0,0,0,0,0,0,0
14℃,100%,2级,阴,0,0,0,0,0,0,0,0
14℃,100%,0级,阴,0,0,0,0,0,0,0,0
15℃,100%,0级,阴,0,0,0,0,0,0,0,0
15℃,100%,0级,阴,0,0,0,0,0,0,0,0
16℃,100%,1级,阴,0,0,0,0,0,0,0,0
16℃,95%,0级,阴,0,0,0,0,0,0,0,0
17℃,92%,2级,阴,0,0,0,0,0,0,0,0
18℃,84%,1级,阴,0,0,0,0,0,0,0,0
17℃,88%,0级,阴,0,0,0,0,0,0,0,0
17℃,88%,0级,阴,0,0,0,0,0,0,0,0
17℃,91%,2级,阴,0,0,0,0,0,0,0,0
17℃,94%,2级,阴,0,0,0,0,0,0,0,0
17℃,93%,2级,阴,0,0,0,0,0,0,0,0
17℃,90%,2级,阴,0,0,0,0,0,0,0,0
18℃,84%,1级,阴,0,0,0,0,0,0,0,0
19℃,78%,0级,阴,0,0,0,0,0,0,0,0
18℃,84%,0级,阴,0,0,0,0,0,0,0,0
18℃,87%,2级,阴,0,0,0,0,0,0,0,0
18℃,88%,2级,阴,0,0,0,0,0,0,0,0
17℃,87%,2级,阴,0,0,0,0,0,0,0,0
17℃,89%,2级,阴,0,0,0,0,0,0,0,0
17℃,91%,2级,阴,0,0,0,0,0,0,0,0
16℃,92%,3级,阴,0,0,0,0,0,0,0,0
16℃,93%,2级,阴,13,46,23,75,46,23,401,876
16℃,97%,3级,阴,12,44,23,67,44,23,296,506
15℃,100%,2级,雨,12,44,23,67,44,23,296,506
15℃,100%,2级,雨,12,42,23,64,42,23,326,482
15℃,100%,1级,雨,11,43,23,0,43,23,333,496
15℃,100%,1级,雨,11,43,23,0,43,23,333,496
15℃,100%,0级,雨,11,42,24,84,42,24,342,482
15℃,100%,0级,阴,11,41,24,66,41,24,374,481
15℃,100%,0级,雨,11,41,24,66,41,24,374,481
15℃,100%,2级,阴,10,44,24,62,44,24,360,485
15℃,100%,2级,阴,12,44,23,62,44,23,360,485
15℃,100%,0级,阴,12,43,24,62,43,24,359,503
15℃,100%,0级,雨,11,45,24,62,45,24,359,503
15℃,100%,1级,雨,11,45,24,62,45,24,250,450
15℃,100%,1级,阴,11,45,24,61,45,24,256,464
15℃,100%,1级,阴,10,46,24,59,46,24,260,419
15℃,100%,0级,阴,10,46,24,59,46,24,260,419
15℃,100%,0级,阴,11,48,23,61,48,23,262,413
15℃,100%,0级,阴,11,53,23,58,53,23,262,413
15℃,100%,0级,阴,11,53,23,58,53,23,256,413
15℃,100%,2级,阴,12,50,23,55,50,23,258,409
