,temperature,humidity,winp,weather,shebei2_huilu1,shebei3_huilu1,shebei4_huilu1,shebei1_huilu2,shebei3_huilu1,shebei4_huilu1,shebei5_huilu1,shebei5_huilu2
0,15,100,2,0,1,1,1,1,1,1,1,1
1,15,100,3,0,1,1,1,1,1,1,1,1
2,15,100,3,0,1,1,1,1,1,1,1,1
3,15,100,4,0,1,1,1,1,1,1,1,1
4,15,100,2,0,1,1,1,1,1,1,1,1
5,15,100,3,1,1,1,1,1,1,1,1,1
6,15,100,3,0,1,1,1,1,1,1,1,1
7,14,100,2,0,1,1,1,1,1,1,1,1
8,15,100,2,0,1,1,1,1,1,1,1,1
9,14,100,2,0,1,1,1,1,1,1,1,1
10,14,100,2,0,1,1,1,1,1,1,1,1
11,14,100,2,0,1,1,1,1,1,1,1,1
12,14,100,1,0,1,1,1,1,1,1,1,1
13,14,100,0,1,1,0,1,1,0,1,1,1
14,14,100,2,1,0,0,0,0,0,0,0,0
15,14,100,2,1,0,0,0,0,0,0,0,0
16,14,100,0,1,0,0,0,0,0,0,0,0
17,15,100,0,1,0,0,0,0,0,0,0,0
18,15,100,0,1,0,0,0,0,0,0,0,0
19,16,100,1,1,0,0,0,0,0,0,0,0
20,16,95,0,1,0,0,0,0,0,0,0,0
21,17,92,2,1,0,0,0,0,0,0,0,0
22,18,84,1,1,0,0,0,0,0,0,0,0
23,17,88,0,1,0,0,0,0,0,0,0,0
24,17,88,0,1,0,0,0,0,0,0,0,0
25,17,91,2,1,0,0,0,0,0,0,0,0
26,17,94,2,1,0,0,0,0,0,0,0,0
27,17,93,2,1,0,0,0,0,0,0,0,0
28,17,90,2,1,0,0,0,0,0,0,0,0
29,18,84,1,1,0,0,0,0,0,0,0,0
30,19,78,0,1,0,0,0,0,0,0,0,0
31,18,84,0,1,0,0,0,0,0,0,0,0
32,18,87,2,1,0,0,0,0,0,0,0,0
33,18,88,2,1,0,0,0,0,0,0,0,0
34,17,87,2,1,0,0,0,0,0,0,0,0
35,17,89,2,1,0,0,0,0,0,0,0,0
36,17,91,2,1,0,0,0,0,0,0,0,0
37,16,92,3,1,0,0,0,0,0,0,0,0
38,16,93,2,1,1,1,1,1,1,1,1,1
39,16,97,3,1,1,1,1,1,1,1,1,1
40,15,100,2,0,1,1,1,1,1,1,1,1
41,15,100,2,0,1,1,1,1,1,1,1,1
42,15,100,1,0,1,1,1,0,1,1,1,1
43,15,100,1,0,1,1,1,0,1,1,1,1
44,15,100,0,0,1,1,1,1,1,1,1,1
45,15,100,0,1,1,1,1,1,1,1,1,1
46,15,100,0,0,1,1,1,1,1,1,1,1
47,15,100,2,1,1,1,1,1,1,1,1,1
48,15,100,2,1,1,1,1,1,1,1,1,1
49,15,100,0,1,1,1,1,1,1,1,1,1
50,15,100,0,0,1,1,1,1,1,1,1,1
51,15,100,1,0,1,1,1,1,1,1,1,1
52,15,100,1,1,1,1,1,1,1,1,1,1
53,15,100,1,1,1,1,1,1,1,1,1,1
54,15,100,0,1,1,1,1,1,1,1,1,1
55,15,100,0,1,1,1,1,1,1,1,1,1
56,15,100,0,1,1,1,1,1,1,1,1,1
57,15,100,0,1,1,1,1,1,1,1,1,1
58,15,100,2,1,1,1,1,1,1,1,1,1
59,15,100,2,0,1,1,1,1,1,1,1,1
60,15,100,2,2,1,1,1,1,1,1,1,1
61,15,100,1,1,0,0,0,0,0,0,0,0
62,15,100,1,0,0,0,0,0,0,0,0,0
63,15,100,2,0,0,0,0,0,0,0,0,0
64,15,100,2,0,0,0,0,0,0,0,0,0
65,15,100,2,0,0,0,0,0,0,0,0,0
66,15,100,1,2,0,0,0,0,0,0,0,0
67,16,100,0,0,0,0,0,0,0,0,0,0
68,16,100,0,1,0,0,0,0,0,0,0,0
69,16,100,0,1,0,0,0,0,0,0,0,0
70,16,100,0,0,0,0,0,0,0,0,0,0
71,17,100,0,0,0,0,0,0,0,0,0,0
72,17,100,0,1,0,0,0,0,0,0,0,0
73,17,100,0,1,0,0,0,0,0,0,0,0
74,17,100,0,1,0,0,0,0,0,0,0,0
75,17,100,0,0,0,0,0,0,0,0,0,0
76,17,100,0,1,0,0,0,0,0,0,0,0
77,17,100,0,0,0,0,0,0,0,0,0,0
78,17,100,0,0,0,0,0,0,0,0,0,0
79,17,100,0,0,0,0,0,0,0,0,0,0
80,17,100,0,1,0,0,0,0,0,0,0,0
81,17,100,2,0,0,0,0,0,0,0,0,0
