uptime_1600008,temperature,humidity,aqi,winp,wind,weather,rtu1
2020-06-09 01:53:00,25℃,85%,54,2级,东风,多云,1867
2020-06-09 03:54:00,24℃,89%,52,2级,东风,多云,1859
2020-06-09 20:07:00,28℃,73%,47,2级,东风,阴,1867
2020-06-09 21:52:00,27℃,77%,46,2级,东风,阴,1888
2020-06-08 02:08:00,22℃,78%,54,2级,东风,晴,1854
2020-06-08 03:55:00,21℃,85%,54,2级,东北风,晴,1866
2020-06-08 22:00:00,26℃,79%,50,2级,东风,晴,1883
2020-06-07 02:07:00,20℃,99%,57,1级,东北风,阴,1863
2020-06-07 03:59:00,21℃,94%,47,2级,东风,阴,1859
2020-06-07 22:06:00,25℃,67%,66,3级,东风,晴,1872
2020-06-07 23:57:00,24℃,70%,55,2级,东风,多云,1868
2020-06-06 02:08:00,17℃,99%,28,1级,西北风,多云,1864
2020-06-06 04:15:00,18℃,99%,31,2级,北风,多云,1861
2020-06-06 22:03:00,22℃,98%,59,1级,东北风,阴,1864
2020-06-06 23:59:00,20℃,99%,58,1级,北风,阴,1872
2020-06-05 02:08:00,25℃,91%,27,2级,东南风,阴,1900
2020-06-05 04:11:00,25℃,96%,31,2级,东南风,阴,1902
2020-06-05 22:07:00,19℃,98%,36,1级,东北风,阴,1873
2020-06-04 02:01:00,24℃,94%,39,2级,南风,多云,1886
2020-06-04 04:11:00,22℃,99%,38,1级,北风,多云,1876
2020-06-04 22:01:00,27℃,82%,47,1级,东南风,阴,1871
2020-06-04 23:59:00,26℃,87%,37,2级,东南风,阴,1906
2020-06-03 02:03:00,24℃,88%,27,2级,西南风,阴,1880
2020-06-03 04:04:00,24℃,82%,27,2级,西南风,阴,1873
2020-06-03 20:02:00,28℃,66%,126,2级,南风,阴,1885
2020-06-03 22:03:00,26℃,85%,59,2级,南风,阴,1873
2020-06-02 01:58:00,24℃,81%,53,2级,西南风,多云,1865
2020-06-02 04:05:00,22℃,95%,45,1级,东南风,多云,1862
2020-06-02 22:11:00,27℃,83%,61,1级,西南风,阴,1885
2020-06-01 02:10:00,21℃,99%,52,2级,北风,阴,1867
2020-06-01 03:58:00,20℃,99%,58,1级,北风,阴,1866
2020-06-01 20:01:00,27℃,65%,52,2级,东南风,多云,1896
2020-06-01 22:07:00,24℃,87%,67,0级,无持续风向,多云,1859
2020-06-01 23:48:00,25℃,79%,66,2级,西南风,晴,1860
2020-05-31 02:04:00,20℃,99%,59,1级,东风,晴,1863
2020-05-31 04:01:00,18℃,99%,63,1级,南风,晴,1861
2020-05-31 20:09:00,25℃,79%,67,2级,东南风,阴,1881
2020-05-31 21:52:00,23℃,92%,57,1级,北风,阴,1862
2020-05-30 02:09:00,18℃,89%,35,2级,东南风,阴,1863
2020-05-30 04:10:00,18℃,95%,33,1级,东风,阴,1857
2020-05-30 20:00:00,23℃,83%,56,2级,北风,晴,1898
2020-05-30 21:52:00,21℃,92%,58,2级,东南风,多云,1876
2020-05-30 23:54:00,20℃,98%,59,2级,东风,晴,1868
2020-05-29 01:55:00,22℃,87%,78,1级,东南风,阴,1876
2020-05-29 04:06:00,21℃,95%,83,0级,无持续风向,阴,1874
2020-05-29 22:05:00,19℃,81%,41,3级,东南风,阴,1878
2020-05-28 02:02:00,21℃,86%,52,1级,西南风,晴,1857
