,uptime_1600008,temperature,humidity,aqi,winp,wind,weather,rtu2
96,2020-05-16 03:06:00,16,99,40,0,8,3,5.0
97,2020-05-16 04:54:00,16,99,39,1,7,2,5.0
249,2020-04-21 01:12:00,13,99,87,1,7,1,5.0
250,2020-04-21 02:07:00,13,99,89,1,7,1,5.0
251,2020-04-21 02:59:00,13,99,88,1,3,1,5.0
260,2020-04-20 20:04:00,13,99,58,2,2,1,5.0
261,2020-04-20 21:00:00,13,99,65,2,6,1,5.0
263,2020-04-20 23:00:00,14,99,84,1,1,1,5.0
264,2020-04-19 02:04:00,12,99,77,2,3,0,5.0
265,2020-04-19 03:08:00,12,99,68,2,3,0,5.0
266,2020-04-19 04:05:00,12,99,55,2,3,0,5.0
275,2020-04-18 20:09:00,12,99,67,2,3,0,5.0
276,2020-04-18 21:01:00,12,99,74,2,5,1,5.0
277,2020-04-18 22:13:00,12,99,80,2,5,0,5.0
278,2020-04-18 22:59:00,12,99,82,2,3,1,5.0
401,2020-04-01 01:01:00,9,99,36,2,3,1,5.0
402,2020-04-01 02:12:00,9,99,43,2,7,1,5.0
403,2020-04-01 02:59:00,9,99,49,1,7,1,5.0
404,2020-04-01 03:57:00,10,99,49,2,3,1,5.0
413,2020-03-31 20:03:00,9,99,21,2,7,0,5.0
414,2020-03-31 21:05:00,10,99,23,2,7,1,5.0
415,2020-03-31 22:14:00,10,99,23,1,7,0,5.0
416,2020-03-31 23:08:00,10,99,25,2,1,1,5.0
417,2020-03-30 01:09:00,5,96,26,2,5,1,5.0
418,2020-03-30 02:09:00,5,99,30,2,5,1,5.0
419,2020-03-30 02:59:00,5,99,33,2,5,1,5.0
420,2020-03-30 03:59:00,5,99,32,1,3,1,5.0
421,2020-03-30 04:53:00,5,98,30,2,3,1,5.0
430,2020-03-29 20:00:00,5,95,16,2,0,0,5.0
431,2020-03-29 21:02:00,5,94,17,2,0,1,5.0
432,2020-03-29 21:52:00,5,94,20,2,5,1,5.0
433,2020-03-29 23:04:00,5,95,20,2,3,1,5.0
435,2020-03-28 02:53:00,3,97,22,3,0,0,5.0
441,2020-03-27 02:04:00,9,95,16,3,3,0,5.0
442,2020-03-27 02:54:00,8,97,18,4,3,1,5.0
451,2020-03-26 03:07:00,17,99,30,2,3,1,5.0
452,2020-03-26 04:10:00,17,99,28,2,0,0,5.0
454,2020-03-26 20:57:00,15,99,48,3,3,0,5.0
456,2020-03-26 23:12:00,12,99,53,4,3,0,5.0
460,2020-03-25 20:03:00,18,99,33,2,4,1,5.0
461,2020-03-25 20:55:00,17,99,39,2,4,1,5.0
462,2020-03-25 21:53:00,17,99,33,2,4,1,5.0
463,2020-03-25 23:07:00,17,99,33,2,4,0,5.0
480,2020-03-22 01:04:00,17,99,49,2,3,2,5.0
481,2020-03-22 01:40:00,17,99,49,2,2,1,5.0
482,2020-03-22 02:33:00,17,99,50,0,8,2,5.0
483,2020-03-22 03:35:00,17,99,49,0,8,2,5.0
484,2020-03-22 04:45:00,17,99,52,2,3,2,5.0
492,2020-03-21 20:13:00,18,99,45,2,4,0,5.0
493,2020-03-21 21:03:00,18,99,45,2,6,0,5.0
494,2020-03-21 22:04:00,18,99,45,2,1,0,5.0
495,2020-03-21 23:01:00,18,99,49,1,2,0,5.0
576,2020-03-10 01:52:00,8,99,84,3,7,3,5.0
589,2020-03-09 20:08:00,9,98,127,2,7,0,5.0
590,2020-03-09 21:02:00,9,99,133,3,7,0,5.0
591,2020-03-09 22:10:00,9,99,139,3,7,1,5.0
592,2020-03-09 22:55:00,9,99,169,3,7,1,5.0
653,2020-02-29 01:12:00,5,99,48,1,1,0,5.0
654,2020-02-29 02:05:00,5,99,46,1,1,0,5.0
655,2020-02-29 03:05:00,5,99,40,2,3,0,5.0
656,2020-02-29 03:57:00,5,99,39,2,7,1,5.0
665,2020-02-28 20:09:00,5,99,43,0,8,0,5.0
667,2020-02-28 22:09:00,5,99,45,2,1,0,5.0
668,2020-02-28 23:08:00,5,99,48,1,1,0,5.0
