,uptime,temperature,humidity,aqi,winp,wind,weather,rtu1
0,2020-06-09 01:53:00,25,85,54,2,0,3,0.0
1,2020-06-09 03:54:00,24,89,52,2,0,3,0.0
2,2020-06-09 20:07:00,28,73,47,2,0,1,0.0
3,2020-06-09 21:52:00,27,77,46,2,0,1,0.0
4,2020-06-08 02:08:00,22,78,54,2,0,4,0.0
5,2020-06-08 03:55:00,21,85,54,2,5,4,0.0
6,2020-06-08 22:00:00,26,79,50,2,0,4,0.0
7,2020-06-07 02:07:00,20,99,57,1,5,1,0.0
8,2020-06-07 03:59:00,21,94,47,2,0,1,0.0
9,2020-06-07 22:06:00,25,67,66,3,0,4,0.0
10,2020-06-07 23:57:00,24,70,55,2,0,3,0.0
11,2020-06-06 02:08:00,17,99,28,1,7,3,0.0
12,2020-06-06 04:15:00,18,99,31,2,3,3,0.0
13,2020-06-06 22:03:00,22,98,59,1,5,1,0.0
14,2020-06-06 23:59:00,20,99,58,1,3,1,0.0
15,2020-06-05 02:08:00,25,91,27,2,4,1,0.0
16,2020-06-05 04:11:00,25,96,31,2,4,1,0.0
17,2020-06-05 22:07:00,19,98,36,1,5,1,0.0
18,2020-06-04 02:01:00,24,94,39,2,2,3,0.0
19,2020-06-04 04:11:00,22,99,38,1,3,3,0.0
20,2020-06-04 22:01:00,27,82,47,1,4,1,0.0
21,2020-06-04 23:59:00,26,87,37,2,4,1,0.0
22,2020-06-03 02:03:00,24,88,27,2,6,1,0.0
23,2020-06-03 04:04:00,24,82,27,2,6,1,0.0
24,2020-06-03 20:02:00,28,66,126,2,2,1,0.0
25,2020-06-03 22:03:00,26,85,59,2,2,1,0.0
26,2020-06-02 01:58:00,24,81,53,2,6,3,0.0
27,2020-06-02 04:05:00,22,95,45,1,4,3,0.0
28,2020-06-02 22:11:00,27,83,61,1,6,1,0.0
29,2020-06-01 02:10:00,21,99,52,2,3,1,0.0
30,2020-06-01 03:58:00,20,99,58,1,3,1,0.0
31,2020-06-01 20:01:00,27,65,52,2,4,3,0.0
32,2020-06-01 22:07:00,24,87,67,0,8,3,0.0
33,2020-06-01 23:48:00,25,79,66,2,6,4,0.0
34,2020-05-31 02:04:00,20,99,59,1,0,4,0.0
35,2020-05-31 04:01:00,18,99,63,1,2,4,0.0
36,2020-05-31 20:09:00,25,79,67,2,4,1,0.0
37,2020-05-31 21:52:00,23,92,57,1,3,1,0.0
38,2020-05-30 02:09:00,18,89,35,2,4,1,0.0
39,2020-05-30 04:10:00,18,95,33,1,0,1,0.0
40,2020-05-30 20:00:00,23,83,56,2,3,4,0.0
41,2020-05-30 21:52:00,21,92,58,2,4,3,0.0
42,2020-05-30 23:54:00,20,98,59,2,0,4,0.0
43,2020-05-29 01:55:00,22,87,78,1,4,1,0.0
44,2020-05-29 04:06:00,21,95,83,0,8,1,0.0
45,2020-05-29 22:05:00,19,81,41,3,4,1,0.0
46,2020-05-28 02:02:00,21,86,52,1,6,4,0.0
47,2020-05-28 03:55:00,19,95,57,1,2,4,0.0
48,2020-05-28 20:00:00,26,69,79,2,2,1,0.0
49,2020-05-28 21:54:00,24,84,83,1,4,1,0.0
50,2020-05-27 02:01:00,20,90,62,1,6,3,0.0
51,2020-05-27 03:56:00,19,97,65,1,2,3,0.0
52,2020-05-27 20:06:00,26,65,99,2,2,3,0.0
53,2020-05-27 21:53:00,24,68,62,2,6,3,0.0
54,2020-05-27 23:57:00,22,82,43,0,8,3,0.0
55,2020-05-26 02:04:00,17,96,50,1,6,4,0.0
56,2020-05-26 03:52:00,17,99,65,2,1,4,0.0
57,2020-05-26 20:02:00,24,72,64,2,2,1,0.0
58,2020-05-26 22:08:00,22,77,63,2,2,1,0.0
59,2020-05-26 23:56:00,22,81,58,1,4,3,0.0
60,2020-05-25 01:52:00,23,62,49,2,5,1,0.0
61,2020-05-25 04:05:00,21,69,52,2,3,1,0.0
62,2020-05-25 20:06:00,19,82,27,1,4,1,0.0
63,2020-05-25 21:56:00,18,90,37,1,6,1,0.0
64,2020-05-24 02:00:00,22,87,68,1,6,4,0.0
65,2020-05-24 03:57:00,22,87,73,1,7,4,0.0
66,2020-05-24 21:55:00,25,48,60,2,0,1,0.0
67,2020-05-23 02:00:00,21,88,47,2,4,3,0.0
68,2020-05-23 04:06:00,21,93,53,1,2,3,0.0
69,2020-05-23 20:08:00,26,61,61,2,4,4,0.0
70,2020-05-23 22:09:00,24,76,72,1,4,4,0.0
71,2020-05-22 02:02:00,19,97,27,0,8,3,0.0
72,2020-05-22 04:00:00,18,99,38,1,6,3,0.0
73,2020-05-22 20:03:00,25,75,57,2,2,3,0.0
