,uptime_1600012,temperature,humidity,aqi,winp,wind,weather,rtu3
0,2020/6/9 1:53,25,85,54,2,0,3,0.0
1,2020/6/9 3:54,24,89,52,2,0,3,0.0
2,2020/6/9 20:07,28,73,47,2,0,1,0.0
3,2020/6/9 21:52,27,77,46,2,0,1,0.0
4,2020/6/8 2:08,22,78,54,2,0,4,0.0
5,2020/6/8 3:55,21,85,54,2,5,4,0.0
6,2020/6/8 22:00,26,79,50,2,0,4,0.0
7,2020/6/7 2:07,20,99,57,1,5,1,0.0
8,2020/6/7 3:59,21,94,47,2,0,1,0.0
9,2020/6/7 22:06,25,67,66,3,0,4,0.0
10,2020/6/7 23:57,24,70,55,2,0,3,0.0
11,2020/6/6 2:08,17,99,28,1,7,3,0.0
12,2020/6/6 4:15,18,99,31,2,3,3,0.0
13,2020/6/6 22:03,22,98,59,1,5,1,0.0
14,2020/6/6 23:59,20,99,58,1,3,1,0.0
15,2020/6/5 2:08,25,91,27,2,4,1,0.0
16,2020/6/5 4:11,25,96,31,2,4,1,0.0
17,2020/6/5 22:07,19,98,36,1,5,1,0.0
18,2020/6/4 2:01,24,94,39,2,2,3,0.0
19,2020/6/4 4:11,22,99,38,1,3,3,0.0
20,2020/6/4 22:01,27,82,47,1,4,1,0.0
21,2020/6/4 23:59,26,87,37,2,4,1,0.0
22,2020/6/3 2:03,24,88,27,2,6,1,0.0
23,2020/6/3 4:04,24,82,27,2,6,1,0.0
26,2020/6/2 1:58,24,81,53,2,6,3,0.0
27,2020/6/2 4:05,22,95,45,1,4,3,0.0
28,2020/6/2 22:11,27,83,61,1,6,1,0.0
29,2020/6/1 2:10,21,99,52,2,3,1,0.0
30,2020/6/1 3:58,20,99,58,1,3,1,0.0
32,2020/6/1 22:07,24,87,67,0,8,3,0.0
33,2020/6/1 23:48,25,79,66,2,6,4,0.0
34,2020/5/31 2:04,20,99,59,1,0,4,0.0
35,2020/5/31 4:01,18,99,63,1,2,4,0.0
36,2020/5/31 20:09,25,79,67,2,4,1,0.0
37,2020/5/31 21:52,23,92,57,1,3,1,0.0
38,2020/5/30 2:09,18,89,35,2,4,1,0.0
39,2020/5/30 4:10,18,95,33,1,0,1,0.0
40,2020/5/30 20:00,23,83,56,2,3,4,0.0
41,2020/5/30 21:52,21,92,58,2,4,3,0.0
42,2020/5/30 23:54,20,98,59,2,0,4,0.0
43,2020/5/29 1:55,22,87,78,1,4,1,0.0
44,2020/5/29 4:06,21,95,83,0,8,1,0.0
45,2020/5/29 22:05,19,81,41,3,4,1,0.0
46,2020/5/28 2:02,21,86,52,1,6,4,0.0
47,2020/5/28 3:55,19,95,57,1,2,4,0.0
49,2020/5/28 21:54,24,84,83,1,4,1,0.0
50,2020/5/27 2:01,20,90,62,1,6,3,0.0
51,2020/5/27 3:56,19,97,65,1,2,3,0.0
52,2020/5/27 20:06,26,65,99,2,2,3,0.0
53,2020/5/27 21:53,24,68,62,2,6,3,0.0
54,2020/5/27 23:57,22,82,43,0,8,3,0.0
55,2020/5/26 2:04,17,96,50,1,6,4,0.0
56,2020/5/26 3:52,17,99,65,2,1,4,0.0
57,2020/5/26 20:02,24,72,64,2,2,1,0.0
58,2020/5/26 22:08,22,77,63,2,2,1,0.0
59,2020/5/26 23:56,22,81,58,1,4,3,0.0
60,2020/5/25 1:52,23,62,49,2,5,1,0.0
61,2020/5/25 4:05,21,69,52,2,3,1,0.0
62,2020/5/25 20:06,19,82,27,1,4,1,0.0
63,2020/5/25 21:56,18,90,37,1,6,1,0.0
64,2020/5/24 2:00,22,87,68,1,6,4,0.0
65,2020/5/24 3:57,22,87,73,1,7,4,0.0
66,2020/5/24 21:55,25,48,60,2,0,1,0.0
67,2020/5/23 2:00,21,88,47,2,4,3,0.0
68,2020/5/23 4:06,21,93,53,1,2,3,0.0
69,2020/5/23 20:08,26,61,61,2,4,4,0.0
70,2020/5/23 22:09,24,76,72,1,4,4,0.0
71,2020/5/22 2:02,19,97,27,0,8,3,0.0
72,2020/5/22 4:00,18,99,38,1,6,3,0.0
73,2020/5/22 20:03,25,75,57,2,2,3,0.0
74,2020/5/22 22:01,22,88,58,1,2,3,0.0
75,2020/5/21 2:02,21,71,73,2,5,3,0.0
76,2020/5/21 4:06,19,80,72,0,8,3,0.0
78,2020/5/21 21:56,24,73,72,2,2,1,0.0
79,2020/5/20 1:06,20,59,60,2,2,1,0.0
80,2020/5/20 2:59,17,85,63,0,8,1,0.0
81,2020/5/20 21:12,21,74,71,1,5,1,0.0
82,2020/5/20 21:54,20,75,78,2,5,1,0.0
83,2020/5/19 1:01,14,89,78,1,1,4,0.0
84,2020/5/19 3:04,14,85,84,2,1,4,0.0
85,2020/5/19 21:09,21,63,66,2,4,3,0.0
86,2020/5/19 23:11,19,74,77,1,4,1,0.0
87,2020/5/18 1:03,23,90,55,2,2,3,0.0
88,2020/5/18 2:58,23,64,57,4,3,4,0.0
89,2020/5/18 4:59,19,75,139,3,7,3,0.0
90,2020/5/18 21:03,15,82,59,1,1,4,0.0
91,2020/5/18 22:53,14,91,59,1,6,4,0.0
92,2020/5/17 3:05,20,99,40,0,8,4,0.0
93,2020/5/17 21:10,24,84,56,2,2,1,0.0
94,2020/5/17 22:57,23,90,56,2,2,3,0.0
95,2020/5/16 1:06,17,99,56,1,5,3,0.0
96,2020/5/16 3:06,16,99,40,0,8,3,0.0
