uptime,temperature,humidity,aqi,winp,wind,weather,rtu4
2019-12-01 01:57:00,5℃,99%,45,3级,西北风,雨,6006
2019-12-01 02:53:00,5℃,98%,52,2级,西北风,雨,4749
2019-12-01 03:52:00,5℃,98%,58,2级,西北风,雨,6133
2019-11-30 01:10:00,7℃,80%,44,2级,东北风,多云,6120
2019-11-30 01:54:00,7℃,81%,46,2级,东北风,多云,4320
2019-11-30 02:59:00,7℃,85%,47,2级,东北风,多云,5283
2019-11-30 04:01:00,6℃,86%,51,2级,北风,多云,4328
2019-11-30 04:56:00,6℃,87%,51,2级,北风,多云,3827
2019-11-30 20:05:00,6℃,99%,60,2级,西北风,阴,4572
2019-11-30 20:50:00,5℃,99%,58,2级,西北风,雨,5226
2019-11-30 21:35:00,5℃,99%,59,2级,西北风,阴,4454
2019-11-30 22:59:00,5℃,99%,59,3级,西北风,雨,4690
2019-11-29 21:04:00,8℃,68%,47,2级,东风,晴,4409
2019-11-29 22:06:00,8℃,69%,42,2级,东风,晴,6100
2019-11-29 22:59:00,8℃,74%,42,2级,东北风,多云,4747
2019-11-28 02:02:00,4℃,90%,98,1级,北风,阴,4774
2019-11-28 03:08:00,4℃,83%,78,2级,北风,阴,5467
2019-11-28 04:04:00,3℃,74%,53,3级,东北风,阴,5594
2019-11-27 02:03:00,5℃,99%,29,3级,东北风,雨,4338
2019-11-27 03:02:00,5℃,99%,30,3级,东北风,雨,4931
2019-11-27 04:00:00,4℃,99%,29,2级,东北风,雨,4545
2019-11-27 04:56:00,3℃,97%,25,4级,东北风,雨,19
2019-11-27 21:04:00,3℃,93%,78,2级,西北风,阴,4878
2019-11-27 22:10:00,4℃,90%,82,2级,西北风,阴,1960
2019-11-27 23:03:00,4℃,91%,84,2级,西风,阴,4679
2019-11-26 20:02:00,6℃,95%,32,2级,北风,雨,4963
2019-11-26 21:08:00,6℃,95%,30,2级,东北风,雨,4308
2019-11-26 22:07:00,5℃,97%,29,2级,东北风,雨,4316
2019-11-26 23:04:00,5℃,98%,28,2级,东北风,雨,4458
2019-10-13 01:05:00,17℃,98%,65,2级,北风,阴,4602
2019-10-13 02:05:00,17℃,98%,79,2级,北风,阴,0
2019-10-13 03:05:00,17℃,97%,92,2级,北风,阴,4398
2019-10-13 04:05:00,17℃,97%,100,1级,东北风,阴,0
2019-10-12 01:15:00,18℃,90%,93,2级,北风,多云,21
2019-10-12 02:15:00,18℃,93%,97,1级,西北风,多云,21
2019-10-12 03:15:00,18℃,94%,100,2级,西北风,多云,4252
2019-10-12 04:15:00,17℃,96%,98,2级,西北风,多云,5605
2019-10-12 20:05:00,18℃,99%,51,1级,西北风,阴,155
2019-10-12 21:10:00,18℃,99%,48,1级,西北风,阴,4499
2019-10-12 22:05:00,18℃,95%,50,2级,北风,阴,18
2019-10-12 23:05:00,17℃,96%,52,2级,北风,阴,5488
2019-10-11 01:15:00,18℃,88%,48,2级,西北风,多云,4319
2019-10-11 02:10:00,18℃,89%,48,2级,西北风,多云,17
2019-10-11 03:15:00,18℃,91%,38,2级,西北风,多云,4331
2019-10-11 04:15:00,18℃,91%,38,1级,西北风,多云,5318
2019-10-11 20:15:00,19℃,83%,63,1级,西北风,晴,907
2019-10-11 21:15:00,18℃,87%,65,2级,西北风,晴,4545
2019-10-11 22:15:00,19℃,87%,84,2级,北风,晴,5449
2019-10-11 23:15:00,18℃,88%,92,2级,西北风,多云,41
2019-10-10 01:10:00,19℃,86%,82,2级,东南风,多云,4405
2019-10-10 02:15:00,19℃,88%,77,1级,东南风,多云,4430
2019-10-10 03:15:00,19℃,88%,79,2级,东南风,多云,5346
2019-10-10 04:15:00,19℃,91%,79,1级,西南风,多云,397
2019-10-10 20:15:00,19℃,86%,73,1级,西风,晴,4525
2019-10-10 21:15:00,19℃,87%,67,2级,西风,晴,5768
2019-10-10 22:15:00,19℃,84%,65,2级,西北风,晴,4468
2019-10-10 23:15:00,18℃,87%,58,2级,西北风,多云,4561
2019-10-09 01:15:00,14℃,99%,49,1级,南风,多云,4320
2019-10-09 02:15:00,14℃,99%,52,0级,无持续风向,多云,5696
2019-10-09 03:15:00,14℃,99%,52,0级,无持续风向,多云,3001
2019-10-09 04:15:00,13℃,99%,54,1级,东南风,雾,24
2019-10-09 20:15:00,19℃,84%,64,2级,东风,晴,4581
2019-10-09 21:15:00,19℃,80%,71,2级,东风,晴,4467
2019-10-09 22:15:00,20℃,82%,75,2级,东南风,晴,5258
2019-10-09 23:15:00,19℃,84%,75,2级,东南风,多云,4620
2019-10-08 20:15:00,15℃,94%,56,2级,西南风,阴,5353
2019-10-08 21:15:00,14℃,95%,59,1级,西南风,阴,4337
2019-10-08 22:15:00,14℃,97%,57,0级,无持续风向,阴,4183
2019-10-08 23:15:00,14℃,97%,52,0级,无持续风向,多云,6528
2019-09-25 01:05:00,18℃,85%,97,0级,无持续风向,多云,4494
2019-09-25 02:05:00,18℃,86%,97,1级,北风,多云,6521
2019-09-25 03:05:00,18℃,90%,101,1级,西北风,多云,0
2019-09-25 04:05:00,18℃,92%,108,1级,东风,多云,6549
2019-09-25 20:15:00,21℃,74%,64,1级,西北风,阴,4192
2019-09-25 21:15:00,21℃,81%,74,1级,北风,阴,4264
2019-09-24 01:15:00,14℃,95%,78,1级,东北风,多云,28
2019-09-24 02:15:00,13℃,94%,79,1级,东南风,多云,4312
2019-09-24 03:05:00,14℃,96%,91,1级,北风,多云,5761
2019-09-24 04:05:00,14℃,92%,90,1级,东北风,多云,24
2019-09-24 20:15:00,20℃,73%,76,0级,无持续风向,多云,155
2019-09-24 21:15:00,19℃,81%,81,1级,北风,多云,5858
2019-09-24 22:15:00,19℃,90%,81,1级,东北风,多云,5937
2019-09-24 23:15:00,19℃,82%,80,1级,北风,多云,4825
2019-09-23 01:05:00,17℃,84%,71,2级,北风,晴,4830
2019-09-23 02:05:00,17℃,80%,68,2级,北风,晴,5778
2019-09-23 03:05:00,17℃,78%,68,1级,东北风,晴,4434
2019-09-23 04:05:00,15℃,80%,53,1级,东北风,晴,5881
2019-09-23 20:15:00,17℃,68%,56,2级,西风,晴,4730
2019-09-23 21:10:00,16℃,88%,63,0级,无持续风向,晴,4770
2019-09-23 22:15:00,15℃,93%,77,1级,东北风,晴,5469
2019-09-23 23:15:00,14℃,90%,81,1级,西北风,多云,4489
2019-09-22 01:05:00,17℃,89%,31,2级,北风,晴,4655
2019-09-22 02:05:00,16℃,93%,33,2级,北风,晴,4330
2019-09-22 03:05:00,16℃,93%,38,1级,西北风,晴,6039
2019-09-22 04:05:00,16℃,96%,41,2级,西北风,晴,4348
2019-09-22 20:05:00,20℃,63%,64,1级,北风,晴,4742
2019-09-22 21:00:00,21℃,61%,67,2级,北风,晴,5782
2019-09-22 22:05:00,19℃,67%,70,1级,北风,晴,5879
2019-09-22 23:05:00,20℃,62%,68,1级,西北风,晴,51
2019-09-21 01:15:00,15℃,89%,41,1级,北风,晴,4317
2019-09-21 02:15:00,15℃,87%,37,2级,北风,晴,42
2019-09-21 03:15:00,15℃,90%,36,1级,北风,晴,22
2019-09-21 04:15:00,15℃,89%,37,1级,北风,晴,4764
2019-09-21 20:05:00,21℃,70%,60,2级,北风,晴,3514
2019-09-21 21:05:00,20℃,74%,61,2级,北风,晴,6182
2019-09-21 22:05:00,20℃,75%,55,2级,北风,晴,4919
2019-09-21 23:05:00,19℃,80%,51,2级,东北风,晴,5495
2019-09-20 20:15:00,20℃,63%,46,2级,东北风,晴,3653
2019-09-20 21:15:00,19℃,67%,45,1级,东北风,晴,4671
2019-09-20 22:15:00,17℃,77%,53,1级,北风,晴,4725
2019-09-20 23:15:00,17℃,81%,48,2级,北风,晴,6394
2019-09-19 20:15:00,21℃,54%,53,2级,东北风,晴,5300
2019-09-19 21:15:00,20℃,62%,38,2级,东北风,晴,6027
2019-09-19 22:15:00,19℃,66%,51,2级,东北风,晴,4316
2019-09-19 23:15:00,18℃,76%,55,2级,东北风,晴,4294
2019-09-18 01:15:00,21℃,96%,70,2级,西北风,多云,6285
2019-09-18 02:15:00,21℃,96%,69,2级,西北风,多云,6313
2019-09-18 03:15:00,21℃,96%,67,2级,北风,多云,4986
2019-09-18 04:15:00,21℃,94%,68,2级,北风,多云,20
2019-09-18 20:15:00,23℃,76%,89,3级,东北风,晴,5179
2019-09-18 21:15:00,22℃,80%,81,2级,东北风,晴,164
2019-09-18 22:15:00,21℃,84%,72,2级,东北风,晴,4210
2019-09-18 23:15:00,21℃,87%,62,3级,东北风,晴,64
2019-09-17 01:15:00,20℃,76%,48,2级,东北风,多云,3864
2019-09-17 02:15:00,20℃,78%,43,2级,东北风,多云,5662
2019-09-17 03:15:00,20℃,80%,46,0级,无持续风向,多云,29
2019-09-17 04:15:00,20℃,80%,48,1级,东北风,多云,5982
2019-09-17 20:15:00,22℃,86%,79,2级,北风,阴,4724
2019-09-17 21:15:00,22℃,88%,76,2级,北风,阴,160
2019-09-17 22:10:00,21℃,90%,65,2级,西北风,阴,177
2019-09-17 23:15:00,21℃,92%,64,1级,西北风,多云,5354
2019-09-16 01:15:00,22℃,75%,43,1级,北风,多云,5605
2019-09-16 02:15:00,21℃,82%,38,2级,西北风,多云,33
2019-09-16 03:15:00,21℃,85%,43,2级,西北风,多云,4874
2019-09-16 04:15:00,20℃,87%,45,2级,北风,多云,5140
2019-09-16 20:15:00,21℃,75%,45,2级,北风,多云,274
2019-09-16 21:15:00,20℃,79%,52,2级,东北风,多云,6247
2019-09-16 22:15:00,20℃,79%,56,2级,北风,多云,2260
2019-09-16 23:15:00,20℃,77%,56,2级,北风,多云,4620
