,uptime,temperature,humidity,aqi,winp,wind,weather,rtu2
0,2019/12/1 1:57,5,99,45,3,7,0,0.0
1,2019/12/1 2:53,5,98,52,2,7,0,0.0
2,2019/12/1 3:52,5,98,58,2,7,0,0.0
3,2019/11/30 1:10,7,80,44,2,5,3,0.0
4,2019/11/30 1:54,7,81,46,2,5,3,0.0
5,2019/11/30 2:59,7,85,47,2,5,3,0.0
6,2019/11/30 4:01,6,86,51,2,3,3,0.0
7,2019/11/30 4:56,6,87,51,2,3,3,0.0
8,2019/11/30 20:50,5,99,58,2,7,0,0.0
9,2019/11/30 21:35,5,99,59,2,7,1,0.0
10,2019/11/30 22:59,5,99,59,3,7,0,0.0
11,2019/11/29 21:04,8,68,47,2,0,4,0.0
12,2019/11/29 22:06,8,69,42,2,0,4,0.0
13,2019/11/29 22:59,8,74,42,2,5,3,0.0
14,2019/11/28 2:02,4,90,98,1,3,1,0.0
15,2019/11/28 3:08,4,83,78,2,3,1,0.0
16,2019/11/28 4:04,3,74,53,3,5,1,0.0
17,2019/11/27 2:03,5,99,29,3,5,0,0.0
18,2019/11/27 3:02,5,99,30,3,5,0,0.0
19,2019/11/27 4:00,4,99,29,2,5,0,0.0
20,2019/11/27 4:56,3,97,25,4,5,0,0.0
21,2019/11/27 21:04,3,93,78,2,7,1,0.0
22,2019/11/27 22:10,4,90,82,2,7,1,0.0
23,2019/11/27 23:03,4,91,84,2,1,1,0.0
24,2019/11/26 20:02,6,95,32,2,3,0,0.0
25,2019/11/26 21:08,6,95,30,2,5,0,0.0
26,2019/11/26 22:07,5,97,29,2,5,0,0.0
27,2019/11/26 23:04,5,98,28,2,5,0,0.0
28,2019/10/13 1:05,17,98,65,2,3,1,0.0
29,2019/10/13 2:05,17,98,79,2,3,1,0.0
30,2019/10/13 3:05,17,97,92,2,3,1,0.0
31,2019/10/13 4:05,17,97,100,1,5,1,0.0
32,2019/10/12 1:15,18,90,93,2,3,3,0.0
33,2019/10/12 2:15,18,93,97,1,7,3,0.0
34,2019/10/12 3:15,18,94,100,2,7,3,0.0
35,2019/10/12 4:15,17,96,98,2,7,3,0.0
36,2019/10/12 20:05,18,99,51,1,7,1,0.0
37,2019/10/12 21:10,18,99,48,1,7,1,0.0
38,2019/10/12 22:05,18,95,50,2,3,1,0.0
39,2019/10/12 23:05,17,96,52,2,3,1,0.0
40,2019/10/11 1:15,18,88,48,2,7,3,0.0
41,2019/10/11 2:10,18,89,48,2,7,3,0.0
42,2019/10/11 3:15,18,91,38,2,7,3,0.0
43,2019/10/11 4:15,18,91,38,1,7,3,0.0
44,2019/10/11 20:15,19,83,63,1,7,4,0.0
45,2019/10/11 21:15,18,87,65,2,7,4,0.0
46,2019/10/11 22:15,19,87,84,2,3,4,0.0
47,2019/10/11 23:15,18,88,92,2,7,3,0.0
48,2019/10/10 1:10,19,86,82,2,4,3,0.0
49,2019/10/10 2:15,19,88,77,1,4,3,0.0
50,2019/10/10 3:15,19,88,79,2,4,3,0.0
51,2019/10/10 4:15,19,91,79,1,6,3,0.0
52,2019/10/10 20:15,19,86,73,1,1,4,0.0
53,2019/10/10 21:15,19,87,67,2,1,4,0.0
54,2019/10/10 22:15,19,84,65,2,7,4,0.0
55,2019/10/10 23:15,18,87,58,2,7,3,0.0
56,2019/10/9 1:15,14,99,49,1,2,3,0.0
57,2019/10/9 2:15,14,99,52,0,8,3,0.0
58,2019/10/9 3:15,14,99,52,0,8,3,0.0
59,2019/10/9 4:15,13,99,54,1,4,2,0.0
60,2019/10/9 20:15,19,84,64,2,0,4,0.0
61,2019/10/9 21:15,19,80,71,2,0,4,0.0
62,2019/10/9 22:15,20,82,75,2,4,4,0.0
63,2019/10/9 23:15,19,84,75,2,4,3,0.0
64,2019/10/8 20:15,15,94,56,2,6,1,0.0
65,2019/10/8 21:15,14,95,59,1,6,1,0.0
66,2019/10/8 22:15,14,97,57,0,8,1,0.0
67,2019/10/8 23:15,14,97,52,0,8,3,0.0
68,2019/9/25 1:05,18,85,97,0,8,3,0.0
69,2019/9/25 2:05,18,86,97,1,3,3,0.0
70,2019/9/25 3:05,18,90,101,1,7,3,0.0
71,2019/9/25 4:05,18,92,108,1,0,3,0.0
72,2019/9/25 20:15,21,74,64,1,7,1,2.0
73,2019/9/25 21:15,21,81,74,1,3,1,2.0
74,2019/9/24 1:15,14,95,78,1,5,3,0.0
76,2019/9/24 3:05,14,96,91,1,3,3,0.0
80,2019/9/24 22:15,19,90,81,1,5,3,0.0
81,2019/9/24 23:15,19,82,80,1,3,3,0.0
82,2019/9/23 1:05,17,84,71,2,3,4,0.0
83,2019/9/23 2:05,17,80,68,2,3,4,0.0
84,2019/9/23 3:05,17,78,68,1,5,4,0.0
85,2019/9/23 4:05,15,80,53,1,5,4,0.0
88,2019/9/23 22:15,15,93,77,1,5,4,0.0
89,2019/9/23 23:15,14,90,81,1,7,3,0.0
90,2019/9/22 1:05,17,89,31,2,3,4,0.0
91,2019/9/22 2:05,16,93,33,2,3,4,0.0
92,2019/9/22 3:05,16,93,38,1,7,4,0.0
96,2019/9/22 22:05,19,67,70,1,3,4,0.0
97,2019/9/22 23:05,20,62,68,1,7,4,0.0
104,2019/9/21 22:05,20,75,55,2,3,4,0.0
105,2019/9/21 23:05,19,80,51,2,5,4,0.0
108,2019/9/20 22:15,17,77,53,1,3,4,0.0
109,2019/9/20 23:15,17,81,48,2,3,4,0.0
112,2019/9/19 22:15,19,66,51,2,5,4,0.0
113,2019/9/19 23:15,18,76,55,2,5,4,0.0
121,2019/9/18 23:15,21,87,62,3,5,4,0.0
126,2019/9/17 20:15,22,86,79,2,3,1,0.0
127,2019/9/17 21:15,22,88,76,2,3,1,0.0
135,2019/9/16 21:15,20,79,52,2,5,3,0.0
144,2019/9/15 22:15,23,71,40,2,3,4,0.0
210,2019/9/5 1:15,20,99,40,0,8,3,0.0
211,2019/9/5 2:15,20,99,35,2,3,3,0.0
212,2019/9/5 3:15,20,99,37,1,5,3,0.0
213,2019/9/5 4:15,20,97,39,1,3,3,0.0
214,2019/9/5 20:15,22,93,41,1,5,4,0.0
215,2019/9/5 21:15,22,96,49,1,5,4,0.0
216,2019/9/5 22:15,21,98,51,1,5,4,0.0
217,2019/9/5 23:15,21,98,44,1,5,3,0.0
218,2019/9/4 1:15,21,97,15,1,5,3,0.0
219,2019/9/4 2:15,21,97,15,2,5,3,0.0
220,2019/9/4 3:15,20,96,15,2,3,3,0.0
221,2019/9/4 4:15,20,93,16,2,5,3,0.0
222,2019/9/4 20:15,22,91,36,1,5,4,0.0
223,2019/9/4 21:15,21,92,48,1,3,4,0.0
224,2019/9/4 22:15,21,93,54,1,5,4,0.0
225,2019/9/4 23:15,20,98,53,1,3,3,0.0
226,2019/9/3 1:00,22,92,40,1,3,1,0.0
227,2019/9/3 2:10,21,96,46,2,7,1,0.0
229,2019/9/3 4:00,21,95,36,1,3,1,0.0
230,2019/9/3 20:15,22,90,20,2,5,3,0.0
231,2019/9/3 21:15,21,95,20,2,0,3,0.0
232,2019/9/3 22:15,21,96,19,2,5,3,0.0
233,2019/9/3 23:15,21,96,19,2,0,3,0.0
234,2019/9/2 1:15,20,98,39,2,5,3,0.0
239,2019/9/2 21:10,22,84,51,0,8,1,0.0
240,2019/9/2 22:10,22,91,51,1,1,1,0.0
241,2019/9/2 23:10,22,92,51,1,1,1,0.0
249,2019/9/1 23:15,20,96,34,2,5,3,0.0
266,2019/8/29 1:15,22,98,41,2,2,3,0.0
267,2019/8/29 2:15,22,98,34,1,2,3,0.0
268,2019/8/29 3:10,22,99,35,1,1,3,0.0
277,2019/8/28 20:15,23,95,40,1,2,1,0.0
278,2019/8/28 21:15,23,96,50,2,6,1,0.0
279,2019/8/28 22:15,23,94,51,1,2,1,0.0
280,2019/8/28 23:15,23,95,51,0,8,3,0.0
289,2019/8/26 1:15,26,94,35,2,5,3,0.0
290,2019/8/26 2:10,26,95,29,2,5,3,0.0
297,2019/8/25 1:10,24,68,57,2,5,3,0.0
298,2019/8/25 2:10,24,74,54,2,5,3,0.0
299,2019/8/25 3:10,24,78,59,2,5,3,0.0
300,2019/8/25 4:15,24,82,65,2,5,3,0.0
304,2019/8/25 23:15,27,88,54,3,5,3,0.0
308,2019/8/24 4:15,23,85,65,1,5,3,0.0
312,2019/8/24 23:10,25,61,52,2,5,3,0.0
321,2019/8/22 1:15,25,86,54,2,5,4,0.0
327,2019/8/22 22:15,26,85,72,2,5,3,0.0
329,2019/8/21 1:15,25,89,70,1,5,4,0.0
330,2019/8/21 2:15,24,90,71,2,5,4,0.0
331,2019/8/21 3:15,24,92,68,1,0,4,0.0
341,2019/7/6 1:15,26,95,52,2,2,3,0.0
342,2019/7/6 2:15,25,96,48,1,4,3,0.0
343,2019/7/6 3:15,25,93,45,2,2,3,0.0
344,2019/7/6 4:10,25,97,45,1,2,3,0.0
345,2019/7/5 1:15,24,97,61,1,0,3,0.0
346,2019/7/5 2:15,23,96,66,0,8,3,0.0
347,2019/7/5 3:15,23,96,66,1,1,3,0.0
348,2019/7/5 4:15,23,98,69,1,3,3,0.0
349,2019/7/5 20:15,27,88,58,2,4,4,0.0
350,2019/7/5 21:15,26,90,57,2,2,4,0.0
351,2019/7/5 22:15,26,94,56,1,4,4,0.0
352,2019/7/5 23:15,26,95,57,2,4,3,0.0
353,2019/7/4 1:15,23,99,67,0,8,3,0.0
354,2019/7/4 2:15,23,99,72,1,5,1,0.0
355,2019/7/4 3:15,23,99,73,1,5,1,0.0
356,2019/7/4 4:15,23,99,75,1,5,1,0.0
357,2019/7/4 20:15,26,77,65,1,0,1,0.0
