,1600004_uptime,temperature,humidity,aqi,winp,wind,weather,rtu3
76,2020-05-15 01:00:00,19,99,40,1,1,1,1.0
77,2020-05-15 03:05:00,18,99,48,2,1,3,0.0
82,2020-05-14 21:05:00,19,99,29,2,1,0,1.0
83,2020-05-14 22:57:00,19,99,36,2,2,1,1.0
92,2020-05-11 03:12:00,14,99,54,0,8,4,0.0
93,2020-05-11 04:53:00,13,99,60,0,8,4,0.0
96,2020-05-10 01:00:00,15,93,40,2,3,1,0.0
97,2020-05-10 03:00:00,14,94,42,2,7,3,0.0
99,2020-05-10 23:07:00,15,99,70,1,4,4,0.0
100,2020-05-09 01:09:00,17,92,28,2,7,3,2.0
101,2020-05-09 03:04:00,16,90,28,3,7,3,1.0
102,2020-05-09 21:10:00,15,90,39,2,3,1,1.0
103,2020-05-09 23:00:00,15,91,44,1,3,1,0.0
107,2020-05-08 23:12:00,17,91,26,3,7,3,1.0
109,2020-05-07 21:06:00,23,85,60,3,0,1,0.0
111,2020-05-06 01:49:00,15,94,43,2,0,1,0.0
112,2020-05-06 03:05:00,15,91,45,2,0,1,0.0
113,2020-05-06 03:54:00,15,90,38,2,5,1,0.0
116,2020-05-05 01:05:00,20,90,46,2,5,1,0.0
120,2020-05-05 20:00:00,15,99,33,2,5,1,0.0
121,2020-05-05 20:50:00,16,98,30,2,5,1,0.0
122,2020-05-05 22:00:00,15,99,36,2,5,1,0.0
123,2020-05-05 22:58:00,15,97,36,2,5,1,0.0
132,2020-05-04 23:01:00,21,88,56,3,5,1,0.0
143,2020-05-02 02:52:00,17,99,55,1,4,4,0.0
144,2020-05-02 03:59:00,17,99,63,1,0,4,0.0
145,2020-05-02 04:54:00,16,99,62,1,5,4,0.0
225,2020-04-21 01:12:00,13,99,87,1,7,1,1.0
226,2020-04-21 02:07:00,13,99,89,1,7,1,1.0
227,2020-04-21 02:59:00,13,99,88,1,3,1,1.0
228,2020-04-21 04:10:00,13,99,89,1,3,1,1.0
232,2020-04-20 01:01:00,10,99,67,1,0,3,1.0
233,2020-04-20 02:03:00,9,99,67,2,6,3,1.0
234,2020-04-20 03:06:00,10,99,67,1,6,3,1.0
235,2020-04-20 04:13:00,10,99,60,1,4,3,0.0
236,2020-04-20 20:04:00,13,99,58,2,2,1,1.0
237,2020-04-20 21:00:00,13,99,65,2,6,1,1.0
238,2020-04-20 22:11:00,14,99,77,1,6,1,1.0
239,2020-04-20 23:00:00,14,99,84,1,1,1,1.0
240,2020-04-19 02:04:00,12,99,77,2,3,0,0.0
241,2020-04-19 03:08:00,12,99,68,2,3,0,0.0
242,2020-04-19 04:05:00,12,99,55,2,3,0,0.0
244,2020-04-19 21:12:00,11,99,52,1,4,3,1.0
245,2020-04-19 22:13:00,10,99,55,1,4,3,1.0
246,2020-04-19 23:07:00,10,99,57,1,7,3,1.0
251,2020-04-18 20:09:00,12,99,67,2,3,0,0.0
349,2020-04-05 03:08:00,9,72,92,2,0,4,0.0
350,2020-04-05 03:59:00,8,75,90,2,0,4,0.0
351,2020-04-05 04:54:00,8,76,89,2,0,4,0.0
354,2020-04-05 21:59:00,13,60,63,2,0,4,0.0
361,2020-04-04 21:59:00,13,75,90,3,5,4,0.0
362,2020-04-04 23:00:00,13,77,94,3,0,4,0.0
363,2020-04-03 01:05:00,10,84,41,1,5,4,0.0
364,2020-04-03 02:15:00,10,91,41,1,3,3,0.0
365,2020-04-03 03:04:00,10,85,36,2,3,3,0.0
366,2020-04-03 04:02:00,10,86,36,2,3,3,0.0
367,2020-04-03 21:08:00,11,94,60,1,3,4,0.0
368,2020-04-03 21:48:00,11,81,71,1,3,4,0.0
369,2020-04-03 23:03:00,11,80,73,1,7,4,0.0
370,2020-04-02 01:02:00,11,94,46,3,5,3,3.0
371,2020-04-02 01:56:00,11,94,51,2,5,3,3.0
372,2020-04-02 03:15:00,10,89,60,2,5,3,3.0
373,2020-04-02 04:04:00,9,87,87,2,0,3,3.0
374,2020-04-02 21:04:00,14,64,66,2,5,3,1.0
375,2020-04-02 21:54:00,13,70,64,3,5,3,1.0
376,2020-04-02 23:09:00,12,75,57,2,5,4,1.0
377,2020-04-01 01:01:00,9,99,36,2,3,1,3.0
378,2020-04-01 02:12:00,9,99,43,2,7,1,3.0
379,2020-04-01 02:59:00,9,99,49,1,7,1,3.0
380,2020-04-01 03:57:00,10,99,49,2,3,1,3.0
381,2020-04-01 20:08:00,11,90,50,2,3,1,3.0
382,2020-04-01 21:10:00,11,93,59,2,5,1,3.0
383,2020-04-01 22:15:00,11,91,59,2,3,1,3.0
384,2020-04-01 23:06:00,11,93,53,2,3,3,3.0
385,2020-03-31 02:14:00,9,92,39,1,3,1,3.0
386,2020-03-31 02:52:00,9,92,45,1,3,1,3.0
387,2020-03-31 04:13:00,8,97,43,2,3,1,3.0
388,2020-03-31 04:52:00,8,99,46,1,3,0,3.0
389,2020-03-31 20:03:00,9,99,21,2,7,0,1.0
390,2020-03-31 21:05:00,10,99,23,2,7,1,1.0
392,2020-03-31 23:08:00,10,99,25,2,1,1,3.0
393,2020-03-30 01:09:00,5,96,26,2,5,1,3.0
394,2020-03-30 02:09:00,5,99,30,2,5,1,3.0
395,2020-03-30 02:59:00,5,99,33,2,5,1,3.0
396,2020-03-30 03:59:00,5,99,32,1,3,1,3.0
398,2020-03-30 20:56:00,10,85,50,1,2,1,3.0
399,2020-03-30 22:09:00,9,91,48,2,1,1,3.0
400,2020-03-30 23:15:00,9,91,45,2,1,1,3.0
401,2020-03-29 01:03:00,7,86,47,1,1,1,3.0
402,2020-03-29 02:05:00,7,87,39,1,6,1,3.0
404,2020-03-29 03:56:00,5,97,42,2,2,0,3.0
405,2020-03-29 04:59:00,5,98,35,2,4,0,2.0
406,2020-03-29 20:00:00,5,95,16,2,0,0,3.0
407,2020-03-29 21:02:00,5,94,17,2,0,1,3.0
410,2020-03-28 02:03:00,4,96,25,3,5,0,3.0
411,2020-03-28 02:53:00,3,97,22,3,0,0,3.0
412,2020-03-28 04:04:00,2,98,21,2,5,0,3.0
413,2020-03-28 20:04:00,8,62,47,2,4,1,3.0
